frame_id,camera,local_track_id,global_id,x1,y1,x2,y2,width,height,center_x,center_y,confidence
3,tacticam,13,10,762,398,804,454,42,56,783.0,426.0,0.9358567595481873
3,tacticam,10,3,328,798,379,874,51,76,353.5,836.0,0.930526077747345
3,tacticam,17,31,439,206,484,263,45,57,461.5,234.5,0.9181755781173706
3,tacticam,2,15,1709,321,1753,384,44,63,1731.0,352.5,0.9171125888824463
3,tacticam,14,5,937,267,963,327,26,60,950.0,297.0,0.9158006906509399
3,tacticam,9,21,357,374,403,430,46,56,380.0,402.0,0.9152699112892151
3,tacticam,11,14,285,441,318,509,33,68,301.5,475.0,0.9147630929946899
3,tacticam,1,9,303,525,350,590,47,65,326.5,557.5,0.9134750962257385
3,tacticam,16,4,841,239,872,291,31,52,856.5,265.0,0.9128645658493042
3,tacticam,6,22,1135,348,1164,405,29,57,1149.5,376.5,0.9093217849731445
3,tacticam,3,12,1135,482,1163,543,28,61,1149.0,512.5,0.9084577560424805
3,tacticam,5,2,890,575,930,640,40,65,910.0,607.5,0.9079803228378296
3,tacticam,12,19,729,348,770,402,41,54,749.5,375.0,0.9065239429473877
3,tacticam,8,8,1301,810,1330,889,29,79,1315.5,849.5,0.9055455327033997
3,tacticam,15,11,1015,145,1046,193,31,48,1030.5,169.0,0.8928837776184082
3,tacticam,7,29,1664,462,1698,523,34,61,1681.0,492.5,0.8928825855255127
3,tacticam,4,20,929,202,957,247,28,45,943.0,224.5,0.8803099989891052
3,tacticam,18,7,1475,225,1501,272,26,47,1488.0,248.5,0.8782575726509094
3,tacticam,19,27,561,93,588,142,27,49,574.5,117.5,0.8671008944511414
3,tacticam,20,17,881,149,917,196,36,47,899.0,172.5,0.8353537917137146
4,tacticam,10,3,324,796,376,868,52,72,350.0,832.0,0.9339458346366882
4,tacticam,15,11,1013,144,1044,192,31,48,1028.5,168.0,0.9293978214263916
4,tacticam,14,5,934,267,966,327,32,60,950.0,297.0,0.9236404895782471
4,tacticam,1,9,300,525,344,589,44,64,322.0,557.0,0.9227716326713562
4,tacticam,16,4,837,240,874,289,37,49,855.5,264.5,0.9222687482833862
4,tacticam,11,14,285,440,320,505,35,65,302.5,472.5,0.9178240299224854
4,tacticam,5,2,885,574,931,638,46,64,908.0,606.0,0.9162906408309937
4,tacticam,8,8,1295,811,1334,889,39,78,1314.5,850.0,0.9137420654296875
4,tacticam,2,15,1711,322,1750,384,39,62,1730.5,353.0,0.9135016202926636
4,tacticam,13,10,763,398,800,454,37,56,781.5,426.0,0.9100577235221863
4,tacticam,18,7,1475,223,1504,272,29,49,1489.5,247.5,0.9080023765563965
4,tacticam,7,29,1662,462,1696,522,34,60,1679.0,492.0,0.9032033681869507
4,tacticam,3,12,1132,482,1156,543,24,61,1144.0,512.5,0.8981665372848511
4,tacticam,6,22,1134,348,1159,405,25,57,1146.5,376.5,0.894932746887207
4,tacticam,12,19,727,348,763,401,36,53,745.0,374.5,0.8918590545654297
4,tacticam,19,27,561,92,590,141,29,49,575.5,116.5,0.8905487656593323
4,tacticam,4,20,928,201,955,248,27,47,941.5,224.5,0.8846879005432129
4,tacticam,20,17,878,147,914,194,36,47,896.0,170.5,0.828235387802124
4,tacticam,22,32,456,71,494,118,38,47,475.0,94.5,0.7953000664710999
4,tacticam,21,16,901,158,926,206,25,48,913.5,182.0,0.7442489266395569
5,broadcast,2,2,1555,709,1640,840,85,131,1597.5,774.5,0.927844226360321
5,broadcast,3,3,599,752,659,886,60,134,629.0,819.0,0.9259259700775146
5,broadcast,4,4,1215,455,1279,549,64,94,1247.0,502.0,0.9126046299934387
5,broadcast,5,5,877,575,934,671,57,96,905.5,623.0,0.8988498449325562
5,broadcast,6,6,815,554,863,645,48,91,839.0,599.5,0.8970860838890076
